Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23,84,No,7,73,Yes,0,Public,Positive,3,No,High School,Near,Male,67
19,64,No,8,59,Yes,2,Public,Negative,4,No,College,Moderate,Female,61
24,98,Yes,7,91,Yes,2,Public,Neutral,4,No,Postgraduate,Near,Male,74
29,89,Yes,8,98,Yes,1,Public,Negative,4,No,High School,Moderate,Male,71
19,92,Yes,6,65,Yes,3,Public,Neutral,4,No,College,Near,Female,70
19,88,Yes,8,89,Yes,3,Public,Positive,3,No,Postgraduate,Near,Male,71
29,84,Yes,7,68,Yes,1,Private,Neutral,2,No,High School,Moderate,Male,67
25,78,Yes,6,50,Yes,1,Public,Negative,2,No,High School,Far,Male,66
17,94,No,6,80,Yes,0,Private,Neutral,1,No,College,Near,Male,69
23,98,Yes,8,71,Yes,0,Public,Positive,5,No,High School,Moderate,Male,72
17,80,No,8,88,No,4,Private,Neutral,4,No,College,Moderate,Male,68
17,97,Yes,6,87,Yes,2,Private,Neutral,2,No,High School,Near,Male,71
21,83,Yes,8,97,Yes,2,Public,Positive,4,No,High School,Near,Male,70
9,82,Yes,8,72,Yes,2,Private,Positive,3,No,Postgraduate,Near,Male,66
10,78,Yes,8,74,Yes,1,Private,Neutral,4,No,Postgraduate,Near,Male,65
17,68,No,8,70,Yes,2,Private,Positive,4,No,High School,Near,Female,64
14,60,Yes,10,65,Yes,0,Private,Positive,3,No,College,Near,Male,60
22,70,Yes,6,82,Yes,1,Public,Neutral,3,No,High School,Near,Female,65
15,80,Yes,9,91,Yes,3,Public,Positive,2,No,College,Moderate,Female,67
12,75,Yes,7,58,Yes,3,Private,Positive,4,No,College,Near,Male,66
29,78,No,5,99,Yes,0,Public,Negative,1,No,High School,Moderate,Female,69
19,99,No,6,84,Yes,1,Public,Neutral,3,No,High School,Near,Male,72
20,74,No,8,89,Yes,1,Public,Negative,2,No,College,Moderate,Female,66
11,78,Yes,8,100,Yes,1,Public,Neutral,3,No,High School,Moderate,Male,66
